year,b_total_ret,b_pf,b_n,b_long_ret,b_short_ret,agg_total_ret,agg_pf,agg_n,agg_long_ret,agg_short_ret
2013,-8.1,0.86,27,-3.0,-5.1,8.1,1.28,42,6.8,1.4
2014,-15.1,0.62,17,-3.9,-11.2,19.1,2.07,34,13.3,5.9
2015,38.5,1.85,28,17.9,20.6,48.4,2.38,41,32.6,15.8
2016,50.1,1.64,40,3.9,46.2,47.0,1.74,45,15.3,31.7
2017,0.6,1.02,12,11.2,-10.6,11.8,1.79,28,6.8,5.0
2018,44.1,2.42,21,6.2,37.9,24.2,2.09,36,3.9,20.3
2019,-5.3,0.70,8,-0.2,-5.1,-16.3,0.35,39,-9.1,-7.2
2020,-1.8,0.95,15,6.6,-8.4,15.1,1.46,40,12.6,2.5
2021,9.8,1.36,15,12.0,-2.2,23.2,2.30,36,22.2,1.0
2022,22.7,2.10,14,27.0,-4.3,20.7,1.74,45,27.0,-6.3
2023,18.0,1.39,25,21.8,-3.8,25.0,1.84,46,32.4,-7.4
2024,21.4,1.51,20,9.8,11.6,24.0,1.74,40,21.2,2.8
2025,14.7,1.45,18,26.4,-11.7,18.9,1.68,38,26.7,-7.8
2026,14.6,2.34,7,11.1,3.5,16.7,4.20,8,15.4,1.3
