year,a_total_ret,a_pf,a_n,a_long_ret,a_short_ret,b_total_ret,b_pf,b_n,b_long_ret,b_short_ret,c_total_ret,c_pf,c_n,c_long_ret,c_short_ret
2013,-14.9,0.55,14,-13.1,-1.9,-8.0,0.86,27,-4.0,-4.0,-5.7,0.76,10,-5.7,0.0
2014,-23.7,0.33,12,-13.0,-10.7,-14.4,0.67,18,-6.8,-7.5,-3.5,0.62,4,-3.5,0.0
2015,42.2,2.49,20,27.0,15.2,43.8,1.93,29,23.2,20.6,2.5,1.16,8,2.5,0.0
2016,45.0,2.65,19,9.3,35.7,41.0,1.50,39,0.6,40.4,27.1,5.20,6,27.1,0.0
2017,25.4,2.91,10,29.8,-4.4,22.3,2.00,14,23.9,-1.6,30.3,4.51,8,30.3,0.0
2018,31.3,3.05,12,2.5,28.9,43.1,2.66,18,2.9,40.2,-10.2,0.00,3,-10.2,0.0
2019,-8.4,0.59,9,-4.1,-4.3,-9.2,0.56,9,-3.8,-5.5,6.1,2.01,4,6.1,0.0
2020,11.2,1.52,12,9.7,1.5,22.9,1.78,18,23.9,-0.9,14.1,2.09,8,14.1,0.0
2021,1.2,1.05,12,8.6,-7.4,7.3,1.25,16,15.3,-7.9,21.4,7.61,5,21.4,0.0
2022,19.3,2.64,9,15.4,3.9,19.9,1.86,15,24.5,-4.6,0.7,1.04,9,0.7,0.0
2023,27.9,2.13,16,22.0,5.9,11.6,1.22,27,21.5,-9.9,24.2,3.04,10,24.2,0.0
2024,24.1,1.63,19,12.9,11.2,17.7,1.39,21,6.8,11.0,9.1,1.62,9,9.1,0.0
2025,0.9,1.03,15,12.9,-12.0,24.5,1.82,18,33.3,-8.8,13.8,2.14,8,13.8,0.0
2026,-5.1,0.54,4,-2.1,-3.0,7.4,1.67,6,4.1,3.3,6.0,0.00,1,6.0,0.0
