year,a_total_ret,a_pf,a_n,a_long_ret,a_short_ret,b_total_ret,b_pf,b_n,b_long_ret,b_short_ret,c_total_ret,c_pf,c_n,c_long_ret,c_short_ret
2013,10.8,1.32,18,25.3,-14.5,1.3,1.05,12,3.7,-2.4,-2.0,0.93,13,3.7,-5.7
2014,26.0,2.08,15,15.0,11.0,22.7,2.08,13,15.0,7.7,24.8,1.96,15,9.3,15.5
2015,27.1,2.22,14,14.2,12.9,29.4,2.62,13,12.4,16.9,41.8,4.45,12,12.4,29.4
2016,-16.3,0.66,18,-7.2,-9.1,-5.1,0.86,14,1.5,-6.7,6.1,1.19,15,-4.4,10.5
2017,-27.8,0.31,14,-9.9,-17.9,-17.7,0.41,11,-2.8,-14.9,-12.6,0.49,10,-2.8,-9.8
2018,48.9,3.05,18,25.1,23.8,42.1,3.81,13,14.9,27.2,31.2,3.08,12,9.0,22.2
2019,-0.5,0.98,15,14.8,-15.3,10.5,1.49,12,14.7,-4.2,2.8,1.10,14,8.7,-6.0
2020,2.7,1.05,23,0.5,2.2,3.5,1.09,17,4.7,-1.3,10.0,1.27,18,4.7,5.2
2021,-2.5,0.94,19,-9.6,7.1,4.1,1.20,11,3.0,1.1,13.0,1.52,14,3.0,10.0
2022,0.1,1.00,18,0.8,-0.7,-14.4,0.58,13,-6.1,-8.3,-24.6,0.43,15,-6.1,-18.5
2023,11.9,1.45,14,7.6,4.3,6.4,1.34,10,5.9,0.6,3.4,1.16,11,5.9,-2.5
2024,21.0,1.78,15,-2.4,23.4,20.2,2.10,12,2.8,17.4,23.3,2.29,12,5.9,17.4
2025,-13.9,0.66,17,-12.2,-1.7,-21.0,0.37,13,-15.3,-5.7,-24.9,0.33,14,-15.3,-9.6
2026,-0.3,0.95,3,3.0,-3.3,3.0,2.00,2,3.0,0.0,3.0,2.00,2,3.0,0.0
